COIL_NO,NUMBER_OF_PASSES,PASS_NO,PASS_INPUT_THICKNESS,PASS_OUTPUT_THICKNESS,PASS_START_TIME,PASS_END_TIME,TOTAL_POWER_CONSUMPTION
K520280000,5,5,0.72,0.56,25:14.0,30:32.0,0
K520240000,6,1,1.99,1.54,35:51.0,46:58.0,0
K520248000,5,4,0.82,0.61,44:41.0,50:29.0,0
K520248000,5,5,0.6,0.45,50:51.0,57:39.0,0
K520235000,5,1,2.01,1.51,33:03.0,43:03.0,0
K520235000,5,2,1.46,1.13,43:41.0,47:59.0,0
K520246000,5,5,0.71,0.55,38:44.0,44:24.0,0
K520225000,5,1,2.01,1.54,49:32.0,59:00.0,0
K520225000,5,4,0.94,0.72,08:56.0,14:57.0,0
K520045000,4,1,2.53,1.94,29:53.0,39:59.0,0
K520045000,4,2,1.93,1.53,40:22.0,45:24.0,0
K520238000,5,5,0.57,0.41,16:19.0,24:56.0,0
K520239000,4,2,1.46,1.08,39:04.0,43:55.0,0
K520239000,4,3,1.09,0.81,44:08.0,49:19.0,0
K520239000,4,5,0.58,0.42,56:17.0,04:33.0,0
K510456000,5,2,1.54,1.21,03:21.0,11:46.0,0
K510456000,5,3,1.17,0.81,11:59.0,18:32.0,0
K511696000,4,4,0.8,0.63,19:16.0,25:17.0,0
K520228000,5,1,2.01,1.66,29:02.0,06:35.0,0
K511583000,6,5,0.72,0.57,19:40.0,24:53.0,0
K511583000,6,6,0.57,0.44,25:08.0,32:04.0,0
K511643000,6,1,2.02,1.54,24:35.0,33:53.0,0
K511643000,6,2,1.55,1.21,34:30.0,38:40.0,0
K511643000,6,6,0.56,0.44,54:32.0,01:34.0,0
K511581000,4,1,1.89,1.5,51:34.0,09:07.0,0
K511581000,4,2,1.51,1.17,09:34.0,15:35.0,0
K511530000,5,2,1.51,1.15,47:31.0,52:22.0,0
K511530000,5,3,1.16,0.87,52:30.0,57:01.0,0
K520229000,5,4,0.98,0.74,57:16.0,02:21.0,0
K520229000,5,5,0.73,0.55,02:37.0,07:36.0,0
K511693000,5,4,0.82,0.61,08:42.0,14:11.0,0
K520097000,3,2,1.93,1.52,35:37.0,39:39.0,0
K520097000,3,3,1.51,1.17,39:57.0,43:17.0,0
K510768000,7,6,1.11,1.29,18:51.0,51:00.0,0
K510768000,7,7,0.67,0.55,51:09.0,57:09.0,0
K520106000,3,1,2.53,1.94,25:21.0,34:51.0,0
K520059000,3,2,1.92,1.53,17:30.0,21:24.0,0
K4C1174000,5,4,1.06,0.81,47:58.0,54:44.0,0
K4C1278000,6,2,1.56,1.23,16:06.0,20:40.0,0
K4C1278000,6,3,1.23,0.96,20:53.0,25:57.0,0
K4C1299000,6,1,2,1.55,16:04.0,31:41.0,0
K4C1299000,6,2,1.56,1.21,32:30.0,36:17.0,0
K4C1299000,6,6,0.57,0.44,53:25.0,00:45.0,0
K4B0696000,6,1,2.82,2.24,49:08.0,57:29.0,0
K4C1253000,5,1,1.99,1.47,13:09.0,25:17.0,0
K4C1253000,5,2,1.47,1.09,25:42.0,29:58.0,0
K4C1282000,5,4,0.81,0.61,19:27.0,24:34.0,0
K4C1282000,5,5,0.6,0.45,24:41.0,31:03.0,0
K4C1190000,6,4,0.86,0.65,20:17.0,26:11.0,0
K4C1288000,6,5,0.59,0.45,56:22.0,03:29.0,0
K4C1624000,4,4,0.73,0.53,00:29.0,06:47.0,0
K4C1417000,4,1,1.94,1.42,20:23.0,34:29.0,0
K4C1417000,4,2,1.35,0.96,34:59.0,39:13.0,0
K4C1450000,6,5,0.74,0.59,17:15.0,22:59.0,0
K4C1419000,5,5,0.6,0.45,37:53.0,46:09.0,0
K4C1337000,5,5,0.62,0.44,43:57.0,50:23.0,0
K4C1623000,6,5,0.66,0.5,16:46.0,23:39.0,0
K4C1317000,5,3,1.11,0.83,56:37.0,01:17.0,0
K4C1317000,5,4,0.82,0.62,01:29.0,06:51.0,0
K4C1443000,5,1,1.98,1.46,09:11.0,20:17.0,0
K4C1443000,5,2,1.45,1.07,20:48.0,24:50.0,0
K4C1443000,5,3,1.07,0.78,25:07.0,29:58.0,0
K4C1569000,5,4,0.85,0.62,49:57.0,58:47.0,0
K4C1869000,4,3,1.03,0.73,49:41.0,54:41.0,0
K4C1332000,4,3,1.09,0.79,18:42.0,23:46.0,0
K4B1867000,5,1,2.89,2.23,00:22.0,09:08.0,0
K4B1874000,5,3,1.78,1.41,58:00.0,02:27.0,0
K4B1874000,5,4,1.41,1.1,02:34.0,07:03.0,0
K4C0373000,5,5,3.34,3.07,03:58.0,11:16.0,0
K4C1494000,5,1,2,1.49,41:19.0,52:47.0,0
K4C1494000,5,2,1.46,1.1,53:18.0,58:06.0,0
K4C1987000,6,6,0.55,0.41,02:04.0,10:37.0,0
K4C1879000,6,5,0.65,0.49,35:52.0,42:28.0,0
K4C1599000,5,5,0.57,0.41,47:22.0,54:29.0,0
K4C1336000,5,5,0.75,0.57,17:16.0,22:20.0,0
K4C1764000,4,4,0.65,0.45,14:24.0,21:34.0,0
K4C0742000,6,2,1.76,1.42,27:41.0,32:14.0,0
K4C1372000,6,1,1.99,1.54,47:06.0,56:41.0,0
K4C1766000,5,1,1.99,1.48,54:12.0,06:43.0,0
K4C1775000,5,5,0.57,0.41,43:50.0,50:34.0,0
K510574000,5,4,0.76,0.56,16:18.0,22:32.0,0
K510574000,5,5,0.54,0.39,22:46.0,30:13.0,0
K510423000,5,2,1.44,1.06,48:14.0,52:15.0,0
K510423000,5,3,1.05,0.76,52:24.0,57:16.0,0
K510571000,5,1,1.98,1.43,55:10.0,03:34.0,0
K510586000,4,3,0.97,0.65,57:38.0,03:29.0,0
K4B0977000,6,5,1.3,1.05,07:52.0,11:05.0,0
K4B0977000,6,6,1.05,0.86,11:14.0,14:57.0,0
K510647000,5,1,1.93,1.51,28:23.0,38:46.0,0
K4B1525000,5,1,2.82,2.22,24:26.0,30:18.0,0
K4B1525000,5,2,2.22,1.79,30:46.0,33:45.0,0
K4B1525000,5,3,1.77,1.44,33:55.0,36:53.0,0
K4C0427000,6,3,1.12,0.84,59:25.0,05:09.0,0
K4B1581000,5,1,2.83,2.24,47:38.0,53:20.0,0
K4B1581000,5,2,2.21,1.78,54:27.0,57:53.0,0
K510524000,5,4,0.83,0.61,44:49.0,52:01.0,0
K510578000,5,4,0.79,0.57,35:13.0,42:14.0,0
K510850000,5,3,1.08,0.79,45:19.0,50:40.0,0
K510850000,5,4,0.79,0.58,50:58.0,58:24.0,0
K510434000,4,1,1.97,1.39,52:45.0,03:27.0,0
K510434000,4,2,1.36,0.95,04:23.0,09:47.0,0
K510756000,4,1,1.96,1.36,34:01.0,47:38.0,0
K510480000,5,1,2.23,1.64,17:54.0,26:10.0,0
K510480000,5,2,1.65,1.26,26:36.0,30:07.0,0
K510480000,5,3,1.26,0.92,30:20.0,34:34.0,0
K510936000,6,1,2.09,1.5,43:23.0,01:08.0,0
K510936000,6,2,1.46,1.09,01:57.0,06:27.0,0
K510528000,5,2,1.65,1.25,47:22.0,50:58.0,0
K510528000,5,3,1.25,0.92,51:09.0,55:16.0,0
K510938000,6,1,2.02,1.48,11:55.0,24:28.0,0
K510938000,6,2,1.47,1.09,25:06.0,29:20.0,0
K510496000,4,2,1.36,0.94,47:40.0,51:52.0,0
K510496000,4,3,0.93,0.63,52:06.0,58:24.0,0
K510543000,5,3,1.07,0.76,20:10.0,24:58.0,0
K510535000,5,1,1.99,1.47,26:54.0,34:31.0,0
K510535000,5,2,1.47,1.09,35:07.0,38:44.0,0
K510656000,2,1,2.21,1.61,43:46.0,51:36.0,0
K510656000,2,2,1.58,1.16,51:58.0,55:42.0,0
K510702000,2,1,2.2,1.6,48:59.0,56:43.0,0
K510619000,5,5,0.61,0.44,03:49.0,11:00.0,0
K4C0186000,5,1,2.79,2.21,05:09.0,09:46.0,0
K512104000,5,3,1.04,0.74,15:19.0,20:40.0,0
K512104000,5,4,0.74,0.54,21:00.0,27:43.0,0
K4C0420000,7,6,1.31,1.13,07:31.0,11:14.0,0
K4C0420000,7,7,1.12,0.98,11:26.0,15:00.0,0
K510672000,7,7,0.96,0.82,46:58.0,51:35.0,0
K4C0418000,7,6,1.31,1.13,29:17.0,34:16.0,0
K4C0418000,7,7,1.12,0.97,34:31.0,38:06.0,0
K511051000,7,2,1.98,1.59,39:42.0,42:43.0,0
K520283000,5,3,1.05,0.78,26:36.0,31:42.0,0
K520283000,5,4,0.77,0.55,32:03.0,38:36.0,0
K520283000,5,5,0.55,0.39,39:01.0,47:56.0,0
K510389000,4,4,0.73,0.5,05:40.0,12:28.0,0
K511313000,4,2,1.42,1.02,27:30.0,31:42.0,0
K511313000,4,3,1.02,0.72,31:55.0,37:01.0,0
K511313000,4,4,0.73,0.51,37:22.0,43:43.0,0
K511582000,4,1,1.96,1.46,49:29.0,59:57.0,0
K511582000,4,2,1.45,1.06,00:18.0,03:46.0,0
K511582000,4,3,1.05,0.76,03:57.0,08:32.0,0
K511582000,4,4,0.76,0.55,08:51.0,13:26.0,0
K520253000,4,1,1.98,1.47,18:58.0,32:42.0,0
K520253000,4,2,1.45,1.06,33:12.0,37:27.0,0
K520253000,4,3,1.07,0.78,37:43.0,43:50.0,0
K520253000,4,4,0.77,0.55,44:24.0,50:57.0,0
K511644000,5,1,2.01,1.54,15:55.0,27:42.0,0
K511644000,5,2,1.54,1.2,28:15.0,32:27.0,0
K511644000,5,3,1.2,0.94,32:27.0,36:45.0,0
K511644000,5,4,0.94,0.73,37:03.0,42:42.0,0
K511644000,5,5,0.72,0.54,42:59.0,48:16.0,0
K511583000,6,1,2.01,1.54,54:30.0,04:09.0,0
K511583000,6,2,1.54,1.21,04:52.0,08:49.0,0
K511583000,6,3,1.2,0.94,09:24.0,13:39.0,0
K511583000,6,4,0.95,0.74,14:08.0,19:09.0,0
K512066000,6,3,1.21,0.95,56:03.0,00:07.0,0
K512066000,6,4,0.94,0.73,00:24.0,05:20.0,0
K512066000,6,5,0.73,0.57,05:32.0,10:52.0,0
K512066000,6,6,0.57,0.44,11:08.0,18:17.0,0
K511530000,5,1,1.97,1.53,35:48.0,46:49.0,0
K511530000,5,4,0.88,0.67,57:18.0,03:24.0,0
K511530000,5,5,0.66,0.5,03:40.0,10:02.0,0
K520229000,5,1,2.19,1.68,15:39.0,23:19.0,0
K520229000,5,2,1.66,1.31,32:35.0,52:22.0,0
K520229000,5,3,1.3,0.98,52:40.0,57:00.0,0
K511694000,5,1,1.99,1.48,13:04.0,21:39.0,0
K511694000,5,2,1.47,1.12,22:22.0,26:22.0,0
K511694000,5,5,0.6,0.43,38:12.0,44:38.0,0
K511585000,5,1,2,1.48,50:27.0,59:39.0,0
K511585000,5,2,1.46,1.12,00:10.0,04:44.0,0
K511585000,5,5,0.61,0.45,16:33.0,24:01.0,0
K511695000,5,3,1.01,0.71,25:58.0,31:20.0,0
K511695000,5,4,0.72,0.5,31:49.0,38:38.0,0
K520279000,6,1,2.02,1.43,30:38.0,42:16.0,0
K520279000,6,2,1.43,1.03,42:45.0,47:23.0,0
K520084000,3,3,1.51,1.16,16:47.0,20:31.0,0
K520042000,3,1,2.54,1.95,47:05.0,56:19.0,0
K510768000,7,5,0.99,0.82,38:57.0,43:45.0,0
K520088000,7,5,0.99,0.82,27:21.0,32:14.0,0
K520088000,7,6,0.82,0.67,32:22.0,37:59.0,0
K520013000,3,1,2.53,1.94,54:25.0,03:16.0,0
K520013000,3,2,1.92,1.53,03:59.0,07:49.0,0
K520106000,3,2,1.94,1.51,35:20.0,39:43.0,0
K520106000,3,3,1.51,1.16,39:55.0,43:37.0,0
K520154000,3,2,1.92,1.51,29:04.0,34:16.0,0
K520154000,3,3,1.51,1.17,34:28.0,38:05.0,0
K520051000,3,3,1.5,1.16,57:44.0,01:26.0,0
K520098000,3,3,1.47,1.12,44:43.0,50:07.0,0
K520234000,5,3,1.11,0.83,08:22.0,12:54.0,0
K520234000,5,4,0.83,0.61,13:19.0,19:22.0,0
K520234000,5,5,0.61,0.44,19:40.0,26:11.0,0
K520050000,3,1,2.54,1.94,31:36.0,40:11.0,0
K520050000,3,2,1.92,1.51,40:35.0,44:35.0,0
K520050000,3,3,1.51,1.16,44:45.0,48:12.0,0
K490786000,4,2,1.48,1.11,08:15.0,13:40.0,0
K490786000,4,3,1.11,0.83,14:30.0,19:22.0,0
K490786000,4,5,0.61,0.45,39:36.0,46:03.0,0
K520251000,5,5,0.53,0.38,21:04.0,29:49.0,0
K520244000,5,3,1.08,0.79,28:35.0,33:52.0,0
K520243000,5,1,1.99,1.49,53:45.0,04:04.0,0
K520243000,5,2,1.49,1.11,04:42.0,08:54.0,0
K520257000,5,3,1.08,0.8,36:51.0,42:11.0,0
K520257000,5,4,0.8,0.58,42:27.0,48:39.0,0
K520257000,5,5,0.57,0.42,49:07.0,56:59.0,0
K4C1880000,6,1,1.97,1.5,16:25.0,26:27.0,0
K4C1880000,6,2,1.5,1.15,27:02.0,32:02.0,0
K4C1880000,6,3,1.14,0.86,32:25.0,36:48.0,0
K511632000,6,3,1.06,0.79,39:31.0,44:38.0,0
K511632000,6,4,0.77,0.56,44:57.0,51:05.0,0
K511632000,6,5,0.56,0.41,51:38.0,59:38.0,0
K511750000,8,6,1.2,1.04,56:46.0,00:40.0,0
K511750000,8,7,1.04,0.91,00:45.0,05:01.0,0
K4B2082000,7,1,3,2.48,30:09.0,37:16.0,0
K4B2082000,7,2,2.54,2.08,37:43.0,41:42.0,0
K4B2082000,7,3,2.07,1.75,42:06.0,44:54.0,0
K4B2082000,7,4,1.75,1.52,45:01.0,47:56.0,0
K511400000,7,4,2.86,2.47,26:40.0,30:45.0,0
K511400000,7,5,2.47,2.13,30:52.0,35:00.0,0
K511400000,7,6,2.13,1.83,35:08.0,39:06.0,0
K511400000,7,7,1.83,1.6,39:10.0,43:56.0,0
K510667000,8,1,3.08,2.47,50:44.0,59:00.0,0
K510667000,8,5,1.42,1.22,09:17.0,13:31.0,0
K510667000,8,6,1.23,1.05,13:39.0,18:19.0,0
K4A0166000,5,1,2.81,2.35,57:39.0,06:27.0,0
K4C1301000,5,5,0.59,0.43,35:06.0,42:34.0,0
K4B0698000,6,6,0.89,0.71,40:14.0,51:12.0,0
K4C1624000,4,2,1.42,1.03,50:04.0,54:30.0,0
K4C1624000,4,3,1.02,0.74,54:47.0,59:55.0,0
K4C1585000,5,1,1.99,1.48,42:05.0,53:39.0,0
K4C1585000,5,2,1.46,1.08,54:21.0,58:05.0,0
K4C1390000,4,4,0.66,0.45,48:17.0,55:45.0,0
K4C1532000,5,1,2.2,1.59,41:06.0,52:00.0,0
K4C1532000,5,2,1.59,1.16,52:33.0,57:02.0,0
K4C1616000,6,5,0.65,0.49,47:49.0,54:01.0,0
K4C1616000,6,6,0.48,0.36,54:48.0,06:27.0,0
K4C1781000,5,2,1.47,1.07,50:42.0,55:16.0,0
K4C1824000,5,1,2.2,1.63,08:59.0,34:39.0,0
K4C1370000,5,1,2.19,1.66,21:22.0,30:27.0,0
K4C1370000,5,2,1.62,1.26,31:06.0,34:44.0,0
K4C1370000,5,3,1.24,0.93,35:03.0,39:18.0,0
K4C1155000,6,4,1.5,1.2,36:38.0,40:40.0,0
K4C1155000,6,5,1.2,0.97,40:56.0,45:21.0,0
K4C1155000,6,6,0.97,0.8,45:28.0,50:10.0,0
K4C1322000,5,1,2.17,1.47,47:49.0,56:40.0,0
K4C2059000,5,5,0.7,0.51,48:56.0,54:49.0,0
K4C1533000,6,6,0.55,0.41,09:11.0,17:29.0,0
K4C1611000,6,4,0.96,0.73,14:02.0,21:14.0,0
K4C1611000,6,5,0.73,0.55,21:39.0,29:13.0,0
K4C0380000,6,2,1.51,1.15,48:32.0,52:24.0,0
K4C0380000,6,3,1.14,0.87,52:31.0,56:22.0,0
K4C1879000,6,1,1.99,1.51,10:59.0,20:34.0,0
K4C1879000,6,2,1.49,1.16,21:24.0,25:39.0,0
K4C1879000,6,3,1.13,0.88,25:45.0,29:58.0,0
K4C1879000,6,4,0.87,0.65,30:14.0,35:43.0,0
K4C1930000,5,5,0.55,0.39,14:45.0,23:15.0,0
K4C1130100,5,4,0.79,0.57,48:37.0,54:52.0,0
K4C1748000,4,2,1.47,1.09,57:04.0,01:21.0,0
K4C1748000,4,3,1.08,0.79,01:28.0,06:08.0,0
K4C1834000,6,6,0.43,0.32,37:34.0,49:47.0,0
K4C1767000,6,5,0.7,0.54,15:23.0,21:23.0,0
K4C1767000,6,6,0.54,0.41,21:45.0,29:42.0,0
K4C0366000,6,6,2.78,2.55,44:59.0,50:29.0,0
K4C1925000,5,5,0.56,0.39,45:43.0,53:29.0,0
K4C1770000,5,1,2,1.46,41:14.0,51:09.0,0
K4C1770000,5,2,1.46,1.08,51:31.0,56:12.0,0
K510201000,6,5,0.76,0.58,49:39.0,55:07.0,0
K510144000,6,3,1.21,0.9,39:30.0,43:36.0,0
K510144000,6,4,0.9,0.68,43:58.0,49:29.0,0
K4C0368000,5,2,4.32,3.96,17:14.0,23:56.0,0
K4C0368000,5,3,3.98,3.63,24:11.0,29:57.0,0
K4C1159000,6,6,0.41,0.29,58:29.0,08:09.0,0
K4C1290000,6,6,0.41,0.3,07:25.0,17:30.0,0
K4C1250000,7,2,1.74,1.4,17:06.0,20:41.0,0
K4C1250000,7,3,1.4,1.13,20:55.0,24:21.0,0
K4C1250000,7,4,1.13,0.92,24:33.0,28:56.0,0
K4C1597000,6,3,1.09,0.8,18:05.0,22:49.0,0
K4C1597000,6,4,0.8,0.59,23:05.0,28:25.0,0
K4C0071000,4,1,2.81,2.23,37:06.0,43:17.0,0
K4C0071000,4,2,2.25,1.81,43:44.0,46:16.0,0
K4C0071000,4,3,1.8,1.47,46:23.0,49:12.0,0
K4C0029000,4,4,1.44,1.15,47:14.0,50:40.0,0
K4B2065000,4,1,2.8,2.24,53:52.0,57:49.0,0
K4B0700000,7,3,1.92,1.63,59:32.0,02:19.0,0
K4B0700000,7,4,1.61,1.35,02:26.0,05:22.0,0
K4B0700000,7,5,1.35,1.13,05:29.0,09:06.0,0
K510514000,5,3,1.08,0.79,47:01.0,51:43.0,0
K510514000,5,4,0.79,0.58,52:02.0,57:57.0,0
K510514000,5,5,0.57,0.42,58:17.0,05:35.0,0
K4C1460000,4,4,0.63,0.42,44:19.0,52:21.0,0
K4C1758000,4,1,1.96,1.41,43:32.0,52:38.0,0
K4C1758000,4,2,1.43,1.04,53:13.0,57:27.0,0
K510433000,5,3,1.05,0.76,06:34.0,13:24.0,0
K510426000,5,2,1.42,1.16,30:15.0,39:49.0,0
K510426000,5,3,1.05,0.77,40:11.0,45:15.0,0
K510426000,5,4,0.76,0.54,45:26.0,50:57.0,0
K510426000,5,5,0.54,0.38,51:13.0,58:42.0,0
K510450000,4,3,0.97,0.65,24:33.0,31:56.0,0
K510450000,4,4,0.65,0.44,32:12.0,39:31.0,0
K4B1191000,5,5,1.1,0.86,20:13.0,24:16.0,0
K4B1190000,5,2,2.21,1.77,19:13.0,21:52.0,0
K4B1190000,5,3,1.77,1.39,22:02.0,25:05.0,0
K4B1190000,5,4,1.38,1.09,25:12.0,29:27.0,0
K4B0975000,5,1,2.8,2.23,48:34.0,55:45.0,0
K4B0975000,5,2,2.22,1.76,56:14.0,58:53.0,0
K4B1709000,5,2,2.23,1.79,46:05.0,50:28.0,0
K4B1709000,5,3,1.78,1.42,50:35.0,54:54.0,0
K4B1709000,5,4,1.42,1.14,55:11.0,00:00.0,0
K4B1709000,5,5,1.13,0.9,00:17.0,05:04.0,0
K510494000,7,2,1.76,1.48,09:29.0,12:47.0,0
K510494000,7,3,1.47,1.21,12:53.0,16:12.0,0
K510646000,5,1,2.01,1.5,14:05.0,23:06.0,0
K510646000,5,2,1.5,1.15,23:34.0,27:34.0,0
K510761000,4,4,0.73,0.52,48:07.0,54:31.0,0
K4C0389000,6,2,1.7,1.37,18:21.0,21:56.0,0
K4C0389000,6,3,1.37,1.12,22:05.0,25:33.0,0
K520059000,3,3,1.51,1.17,21:32.0,25:14.0,0
K520098000,3,1,2.55,1.93,30:39.0,40:00.0,0
K520098000,3,2,1.91,1.52,40:23.0,44:38.0,0
K520249000,5,2,1.46,1.08,06:44.0,11:49.0,0
K520249000,5,3,1.07,0.78,12:12.0,17:19.0,0
K520249000,5,4,0.78,0.56,17:41.0,24:23.0,0
K490786000,4,1,2,1.49,53:01.0,02:43.0,0
K490786000,4,4,0.93,0.66,19:41.0,39:12.0,0
K520251000,5,1,2,1.45,52:10.0,03:29.0,0
K520251000,5,2,1.44,1.05,04:09.0,08:28.0,0
K520251000,5,3,1.05,0.75,08:52.0,14:13.0,0
K520245000,5,1,2.02,1.45,22:03.0,30:38.0,0
K520245000,5,2,1.45,1.04,31:18.0,35:58.0,0
K520245000,5,5,0.53,0.38,54:06.0,03:52.0,0
K520243000,5,4,0.83,0.61,14:52.0,20:44.0,0
K520243000,5,5,0.61,0.44,22:17.0,29:10.0,0
K520242000,5,1,2.01,1.47,36:27.0,47:43.0,0
K520242000,5,2,1.45,1.1,48:21.0,52:28.0,0
K520242000,5,3,1.08,0.82,52:36.0,58:02.0,0
K520242000,5,4,0.79,0.58,58:17.0,04:13.0,0
K520257000,5,1,2.03,1.47,23:17.0,31:50.0,0
K520257000,5,2,1.44,1.1,32:35.0,36:30.0,0
K512092000,5,1,1.97,1.43,03:18.0,22:59.0,0
K512092000,5,4,0.75,0.53,39:40.0,46:49.0,0
K4C1883000,6,6,0.49,0.36,57:55.0,07:01.0,0
K4C1880000,6,5,0.65,0.49,43:36.0,50:13.0,0
K511632000,6,6,0.41,0.29,00:09.0,09:55.0,0
K4C0376000,8,4,1.97,1.71,09:10.0,11:58.0,0
K4C0376000,8,5,1.71,1.51,12:16.0,15:32.0,0
K511222000,8,2,2.29,1.93,59:04.0,02:55.0,0
K511222000,8,3,1.93,1.64,03:02.0,05:49.0,0
K511222000,8,4,1.64,1.4,05:54.0,09:08.0,0
K511222000,8,5,1.41,1.22,09:11.0,12:30.0,0
K511222000,8,6,1.22,1.06,12:37.0,16:29.0,0
K511222000,8,7,1.07,0.93,16:37.0,20:47.0,0
K511222000,8,8,0.93,0.82,20:57.0,25:31.0,0
K511473000,8,6,1.27,1.11,53:31.0,10:53.0,0
K511473000,8,7,0.97,0.85,12:07.0,17:52.0,0
K511399000,6,1,4.8,3.88,39:42.0,51:39.0,0
K511399000,6,2,3.88,3.37,52:55.0,57:49.0,0
K511399000,6,3,3.36,2.92,57:57.0,01:19.0,0
K511399000,6,4,2.93,2.54,01:30.0,05:43.0,0
K511399000,6,5,2.53,2.2,05:50.0,08:35.0,0
K510669000,6,7,1.05,0.93,49:25.0,53:57.0,0
K510669000,6,8,0.92,0.82,54:06.0,58:25.0,0
K510693000,6,1,3.07,2.45,03:17.0,11:03.0,0
K510693000,6,2,2.45,2.01,11:38.0,14:14.0,0
K510693000,6,3,2.01,1.67,14:22.0,17:25.0,0
K511224000,7,5,1.36,1.14,57:40.0,01:17.0,0
K511224000,7,6,1.14,0.96,01:21.0,05:07.0,0
K511534000,7,4,1.61,1.35,27:43.0,30:35.0,0
K511534000,7,5,1.35,1.15,30:42.0,34:12.0,0
K511534000,7,6,1.15,0.96,34:21.0,38:03.0,0
K511538000,6,6,1.14,0.96,08:05.0,11:48.0,0
K511538000,6,7,0.96,0.82,11:56.0,16:14.0,0
K4C0402000,6,1,2.81,2.26,25:36.0,32:35.0,0
K4C0402000,6,2,2.29,1.87,33:14.0,35:57.0,0
K4C0402000,6,3,1.87,1.56,36:05.0,38:57.0,0
K4C0402000,6,6,1.13,0.97,45:53.0,49:32.0,0
K452017000,7,1,3.52,2.94,38:42.0,45:57.0,0
K452017000,7,6,1.63,1.41,58:48.0,02:18.0,0
K452017000,7,7,1.41,1.22,02:25.0,06:34.0,0
K511341000,6,5,1.09,0.9,39:29.0,43:35.0,0
K511341000,6,6,0.91,0.77,43:44.0,48:33.0,0
K511417000,7,6,0.84,0.71,57:34.0,03:15.0,0
K511417000,7,7,0.71,0.61,03:28.0,09:04.0,0
K520429000,6,2,1.73,1.37,16:45.0,20:10.0,0
K520429000,6,3,1.37,1.11,20:20.0,24:02.0,0
K520429000,6,4,1.12,0.91,24:09.0,28:07.0,0
K511306000,6,1,2.23,1.74,46:00.0,55:37.0,0
K511339000,6,1,2.22,1.73,03:23.0,20:36.0,0
K511339000,6,2,1.73,1.37,21:51.0,26:42.0,0
K511339000,6,6,0.73,0.61,46:16.0,53:58.0,0
K481991000,7,5,1.41,1.18,28:24.0,31:49.0,0
K481991000,7,6,1.18,1.02,32:00.0,35:30.0,0
K4C1559000,7,1,3.19,2.47,46:40.0,55:46.0,0
K4C1559000,7,2,2.48,1.92,56:24.0,59:24.0,0
K4C0352000,7,2,1.98,1.59,39:26.0,43:58.0,0
K4C0352000,7,3,1.6,1.29,44:01.0,46:59.0,0
K520039000,4,1,2.56,2.07,42:04.0,50:42.0,0
K520039000,4,2,2.04,1.73,51:14.0,55:08.0,0
K520435000,4,2,2.04,1.71,17:00.0,20:27.0,0
K520435000,4,3,1.7,1.39,20:39.0,24:12.0,0
K520435000,4,4,1.4,1.15,24:29.0,28:26.0,0
K520438000,5,4,0.88,0.66,28:35.0,33:19.0,0
K520438000,5,5,0.66,0.5,33:43.0,39:01.0,0
K520573000,6,2,2.06,1.74,53:42.0,03:25.0,0
K520573000,6,3,1.73,1.48,03:40.0,08:04.0,0
K520577000,6,1,2.53,2.08,37:47.0,51:16.0,0
K520577000,6,2,2.07,1.75,52:06.0,56:56.0,0
K520601100,6,1,2.81,2.3,11:41.0,20:31.0,0
K520601100,6,2,2.3,1.91,20:56.0,24:38.0,0
K4C1063000,8,1,4.8,4,42:56.0,50:28.0,0
K4C1063000,8,2,3.99,3.47,51:02.0,58:01.0,0
K4A0166000,5,2,2.35,2,06:54.0,11:47.0,0
K4A0166000,5,3,2.01,1.68,11:53.0,14:35.0,0
K4A0166000,5,4,1.69,1.41,14:46.0,18:51.0,0
K4C1280000,5,3,1.11,0.84,47:25.0,51:51.0,0
K4C1280000,5,4,0.82,0.62,52:06.0,58:01.0,0
K4C1333000,6,5,0.74,0.56,44:55.0,50:39.0,0
K4C1333000,6,6,0.56,0.42,50:50.0,59:55.0,0
K4C1392000,5,3,1.07,0.78,48:44.0,53:22.0,0
K4C1392000,5,4,0.78,0.57,53:35.0,59:14.0,0
K4C1252000,5,4,0.85,0.63,16:23.0,22:16.0,0
K4C1252000,5,5,0.62,0.45,22:35.0,29:38.0,0
K4C1197000,5,2,1.42,1.03,46:26.0,51:20.0,0
K4C1197000,5,3,1.04,0.73,51:38.0,56:39.0,0
K4C1190000,6,5,0.65,0.49,26:21.0,32:26.0,0
K4C2053000,5,2,1.45,1.09,30:22.0,34:20.0,0
K4C2053000,5,3,1.08,0.78,34:41.0,39:25.0,0
K4C1695000,5,1,1.99,1.46,57:32.0,06:08.0,0
K4B1929000,5,4,1.65,1.38,29:51.0,33:23.0,0
K4B1929000,5,5,1.39,1.16,33:33.0,36:59.0,0
K4C1833000,6,6,0.41,0.29,42:52.0,52:25.0,0
K4C1738000,7,2,1.45,1.07,50:52.0,56:39.0,0
K4B2071000,4,3,1.81,1.44,29:34.0,32:26.0,0
K4B2071000,4,4,1.46,1.16,32:34.0,35:58.0,0
K510571000,5,2,1.44,1.06,04:01.0,10:28.0,0
K510571000,5,3,1.06,0.76,10:46.0,15:54.0,0
K510505000,5,5,0.54,0.39,06:51.0,14:23.0,0
K4B1193000,5,4,1.4,1.1,48:46.0,52:23.0,0
K4B1193000,5,5,1.08,0.86,52:30.0,56:31.0,0
K510444000,5,5,0.56,0.39,15:48.0,22:51.0,0
K4B0974000,5,5,1.09,0.85,46:09.0,50:22.0,0
